,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,user_session,user_response,user_id,database_id
0,0.374,0.85,4,-5.657,0,0.0404,0.0904,0.0,0.116,0.348,125.796,1,0,0,5bb7ac930c27ee4c381dd9dc
1,0.505,0.366,5,-9.197,1,0.025,0.353,1.39e-05,0.124,0.115,100.533,1,0,0,5bb7ac960c27ee4c381dda8b
2,0.674,0.943,0,-3.413,1,0.0408,0.0159,0.0,0.504,0.856,118.06,1,1,0,5bb7ac910c27ee4c381dd91b
3,0.602,0.746,0,-3.528,1,0.0365,0.186,0.0,0.122,0.617,118.026,1,0,0,5bb7ac8e0c27ee4c381dd843
4,0.626,0.457,8,-9.091,0,0.0339,0.0876,7.72e-05,0.0801,0.223,149.99,1,0,0,5bb7ac890c27ee4c381dd69e
5,0.441,0.344,4,-9.799,1,0.0299,0.386,0.000277,0.917,0.111,87.588,1,0,0,5bb7ac890c27ee4c381dd69f
6,0.264,0.128,9,-15.443,1,0.034,0.885,0.352,0.105,0.0774,148.499,1,0,0,5bb7ac890c27ee4c381dd6a0
7,0.61,0.165,8,-14.659,1,0.0502,0.981,0.000544,0.134,0.258,102.68,1,0,0,5bb7ac890c27ee4c381dd6a1
8,0.209,0.418,3,-8.74,1,0.0338,0.163,0.00195,0.113,0.123,138.265,1,0,0,5bb7ac890c27ee4c381dd6a2
9,0.375,0.304,1,-14.52,1,0.0302,0.943,0.303,0.126,0.147,147.989,1,0,0,5bb7ac890c27ee4c381dd6a3
10,0.434,0.438,2,-14.67,1,0.0326,0.598,0.000181,0.826,0.367,92.001,1,0,0,5bb7ac890c27ee4c381dd6a4
11,0.675,0.885,1,-4.432,0,0.0436,0.217,0.0,0.086,0.768,97.03,1,1,0,5bb7ac890c27ee4c381dd6a5
12,0.736,0.27,8,-11.192,0,0.0334,0.775,0.0454,0.0851,0.365,118.017,1,0,0,5bb7ac890c27ee4c381dd6a6
13,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,1,1,0,5bb7ac890c27ee4c381dd6a7
14,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,1,1,0,5bb7ac890c27ee4c381dd6a8
15,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,1,1,0,5bb7ac8b0c27ee4c381dd763
16,0.594,0.433,1,-7.347,0,0.0334,0.0402,0.0,0.104,0.202,128.918,1,0,0,5bb7ac890c27ee4c381dd6a9
17,0.646,0.927,10,-7.568,0,0.0535,0.134,0.0508,0.0979,0.898,90.871,1,0,0,5bb7ac890c27ee4c381dd6aa
18,0.585,0.694,10,-6.6,1,0.18,0.335,0.0,0.593,0.927,97.971,1,0,0,5bb7ac890c27ee4c381dd6ab
19,0.637,0.977,4,-3.083,1,0.0494,0.0862,0.0,0.15,0.942,120.009,1,0,0,5bb7ac890c27ee4c381dd6ac
20,0.766,0.754,1,-10.713,1,0.088,0.0338,0.179,0.213,0.83,133.507,1,0,0,5bb7ac890c27ee4c381dd6ad
21,0.571,0.836,10,-6.906,0,0.215,0.597,0.0108,0.106,0.526,93.641,1,0,0,5bb7ac890c27ee4c381dd6ae
22,0.711,0.355,9,-15.222,0,0.0875,0.921,9.35e-06,0.0775,0.937,124.079,1,0,0,5bb7ac890c27ee4c381dd6af
23,0.709,0.793,6,-4.725,0,0.057,0.687,8.11e-06,0.123,0.896,99.96,1,0,0,5bb7ac890c27ee4c381dd6b0
24,0.74,0.831,7,-9.232,1,0.0569,0.143,0.000463,0.13,0.95,130.017,1,0,0,5bb7ac890c27ee4c381dd6b1
25,0.779,0.91,5,-7.976,1,0.0334,0.312,0.0415,0.0431,0.95,112.966,1,0,0,5bb7ac890c27ee4c381dd6b2
26,0.743,0.838,6,-5.275,1,0.0942,0.0706,0.00644,0.0588,0.931,130.065,1,0,0,5bb7ac890c27ee4c381dd6b3
27,0.555,0.275,7,-18.638,0,0.0359,0.783,0.0671,0.0829,0.335,142.7,1,0,0,5bb7ac890c27ee4c381dd6b4
28,0.506,0.319,4,-13.386,1,0.0657,0.787,9.87e-05,0.0971,0.522,86.357,1,0,0,5bb7ac890c27ee4c381dd6b5
29,0.752,0.725,4,-6.33,1,0.0305,0.799,0.000218,0.0962,0.828,144.032,1,0,0,5bb7ac890c27ee4c381dd6b6
30,0.695,0.894,0,-6.867,0,0.0802,0.152,1.61e-06,0.0927,0.811,115.038,1,0,0,5bb7ac890c27ee4c381dd6b7
31,0.565,0.69,9,-6.035,1,0.0279,0.355,0.00145,0.198,0.767,137.792,1,0,0,5bb7ac890c27ee4c381dd6b8
32,0.182,0.894,2,-6.226,0,0.09,0.000236,0.131,0.674,0.455,176.578,1,0,0,5bb7ac890c27ee4c381dd6b9
33,0.553,0.727,4,-6.395,0,0.0254,0.584,0.138,0.113,0.507,104.95,1,0,0,5bb7ac890c27ee4c381dd6ba
34,0.658,0.881,6,-5.99,1,0.036,0.0304,1.53e-06,0.12,0.834,122.313,1,0,0,5bb7ac890c27ee4c381dd6bb
35,0.578,0.441,9,-9.556,1,0.0361,0.0079,0.836,0.243,0.257,120.67,1,0,0,5bb7ac890c27ee4c381dd6bc
36,0.565,0.657,8,-8.526,1,0.0273,0.0587,0.000151,0.331,0.361,136.05,1,0,0,5bb7ac890c27ee4c381dd6bd
37,0.615,0.799,9,-6.892,0,0.0305,0.0341,0.192,0.111,0.697,114.984,1,1,0,5bb7ac890c27ee4c381dd6be
38,0.481,0.469,11,-11.484,1,0.0625,0.243,0.00138,0.101,0.65,170.219,1,0,0,5bb7ac890c27ee4c381dd6bf
