,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,user_session,user_response,user_id,database_id
43,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,2,0,0,5bb7ac890c27ee4c381dd6a7
44,0.641,0.802,2,-8.798,1,0.0487,0.415,0.0,0.166,0.966,115.46,2,0,0,5bb7ac8e0c27ee4c381dd84e
45,0.794,0.609,6,-11.665,0,0.066,0.57,0.875,0.102,0.118,124.99,2,0,0,5bb7ac9b0c27ee4c381ddc1e
46,0.504,0.919,8,-1.433,1,0.116,0.319,0.0,0.11,0.54,108.092,2,0,0,5bb7ac920c27ee4c381dd97e
47,0.282,0.968,1,-5.464,1,0.173,1.82e-05,0.248,0.252,0.117,112.392,2,0,0,5bb7ac8f0c27ee4c381dd8a1
48,0.917,0.549,7,-6.415,1,0.117,0.0929,0.0102,0.112,0.923,128.934,2,0,0,5bb7ac980c27ee4c381ddb20
49,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,2,0,0,5bb7ac960c27ee4c381dda84
50,0.352,0.956,7,-3.634,1,0.149,7.51e-05,0.0203,0.125,0.228,122.897,2,1,0,5bb7ac910c27ee4c381dd8f9
51,0.531,0.323,0,-12.812,0,0.0329,0.917,0.0069,0.0546,0.506,74.28,2,0,0,5bb7ac920c27ee4c381dd974
52,0.745,0.577,1,-7.948,1,0.0407,0.054,0.775,0.32,0.312,124.989,2,1,0,5bb7ac8d0c27ee4c381dd7bc
53,0.601,0.913,9,-6.28,0,0.145,0.00397,0.0047,0.598,0.302,139.998,2,0,0,5bb7ac8d0c27ee4c381dd7fc
54,0.605,0.837,2,-4.236,1,0.164,0.0263,0.0,0.31,0.487,129.925,2,0,0,5bb7ac990c27ee4c381ddb8f
55,0.611,0.697,2,-8.618,1,0.133,0.0193,0.0,0.332,0.476,122.752,2,0,0,5bb7ac8c0c27ee4c381dd79c
56,0.708,0.687,7,-6.086,1,0.0324,0.271,0.0,0.0932,0.571,89.985,2,0,0,5bb7ac930c27ee4c381dd9d9
57,0.647,0.574,0,-7.584,1,0.0494,0.544,0.0,0.187,0.541,148.517,2,0,0,5bb7ac960c27ee4c381dda7d
58,0.71,0.527,6,-9.792,0,0.117,0.323,0.0,0.103,0.773,89.91,2,0,0,5bb7ac9c0c27ee4c381ddc46
59,0.681,0.988,11,-3.641,0,0.046,0.347,8.33e-06,0.139,0.702,139.998,2,0,0,5bb7ac8b0c27ee4c381dd745
60,0.763,0.556,9,-7.893,1,0.0353,0.382,1.4e-05,0.262,0.909,103.925,2,0,0,5bb7ac8b0c27ee4c381dd728
61,0.366,0.572,2,-4.748,1,0.0377,0.343,0.00895,0.186,0.356,119.938,2,0,0,5bb7ac9b0c27ee4c381ddc18
62,0.525,0.935,2,-12.161,1,0.0608,0.00412,0.903,0.126,0.486,96.0,2,1,0,5bb7ac8f0c27ee4c381dd899
63,0.368,0.927,10,-4.46,1,0.0345,0.000135,0.14,0.23,0.0402,173.983,2,0,0,5bb7ac8d0c27ee4c381dd7ef
64,0.651,0.279,3,-14.753,1,0.0287,0.638,0.885,0.0679,0.332,126.977,2,0,0,5bb7ac890c27ee4c381dd6d3
65,0.432,0.458,0,-9.723,1,0.0399,0.23,0.719,0.111,0.232,152.572,2,1,0,5bb7ac920c27ee4c381dd953
66,0.507,0.805,10,-7.241,1,0.0419,0.000912,0.185,0.793,0.496,137.006,2,0,0,5bb7ac990c27ee4c381ddba3
67,0.841,0.933,0,-3.385,1,0.168,0.00605,0.815,0.0339,0.361,128.013,2,0,0,5bb7ac910c27ee4c381dd92d
68,0.495,0.503,3,-6.838,1,0.032,0.67,0.0,0.14,0.333,185.088,2,0,0,5bb7ac8b0c27ee4c381dd74a
