database_id,spotify_id,song_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5bb7ac890c27ee4c381dd6b0,3YlkOxWW57K0OpL7ZVVGqj,Beautiful Onyinye,https://p.scdn.co/mp3-preview/11ed430cd323cfb8e3d967e3a5505602592f8b04?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.709,0.793,6,-4.725,0,0.057,0.687,8.11E-06,0.123,0.896,99.96
5bb7ac890c27ee4c381dd6b1,6XWr8TOIRFl29jTluMfCDJ,Naija Baby,https://p.scdn.co/mp3-preview/93757cd5c713dd4746fc4bc2a86c35196be00674?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.74,0.831,7,-9.232,1,0.0569,0.143,0.000463,0.13,0.95,130.017
5bb7ac890c27ee4c381dd6b2,6O0P38dfkVUtTCRSgMEUPW,Tekere,https://p.scdn.co/mp3-preview/8bfe74dbd835eb2ec27a83af90f05a9fe93bb3d2?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.779,0.91,5,-7.976,1,0.0334,0.312,0.0415,0.0431,0.95,112.966
5bb7ac890c27ee4c381dd6b3,51fQbW2AJ0cqOlyUYOyEJ8,Kukere,https://p.scdn.co/mp3-preview/818202b7fc7030b13b046c403123530b90eead3a?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.743,0.838,6,-5.275,1,0.0942,0.0706,0.00644,0.0588,0.931,130.065
5bb7ac890c27ee4c381dd6b4,3N6XFwm2WSk1HihHouqB5L,Diaraby,https://p.scdn.co/mp3-preview/a539c2ab547887b72f9728f2bb9ceb0713cf8a55?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.555,0.275,7,-18.638,0,0.0359,0.783,0.0671,0.0829,0.335,142.7
5bb7ac890c27ee4c381dd6b5,4jvfzleLDS7kAcCzBurkQn,Clandestin,https://p.scdn.co/mp3-preview/d10397d2076f13cfe9d7ee2c148c61c11a42dd79?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.506,0.319,4,-13.386,1,0.0657,0.787,9.87E-05,0.0971,0.522,86.357
5bb7ac890c27ee4c381dd6b6,7jAfqMJAQuObNZmXdd6BzK,Mbote Ya Pamba,https://p.scdn.co/mp3-preview/e5ee916f54d6bc3d58d2197436ba19a8527a6a35?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.752,0.725,4,-6.33,1,0.0305,0.799,0.000218,0.0962,0.828,144.032
5bb7ac890c27ee4c381dd6b7,2P3ToVN2hGsvVtrSqlZepT,Wiz Party (Bonus Freestyle Leak),https://p.scdn.co/mp3-preview/e7455ebbd5ca135a876865c4d64fac185d093b8d?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.695,0.894,0,-6.867,0,0.0802,0.152,1.61E-06,0.0927,0.811,115.038
5bb7ac890c27ee4c381dd6b8,547xiT3Y8VstlY3ZDIXxlC,Popular Mechanics For Lovers,https://p.scdn.co/mp3-preview/496d0c1e49163e550913b6bafaacccb0c3da2b66?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.565,0.69,9,-6.035,1,0.0279,0.355,0.00145,0.198,0.767,137.792
5bb7ac890c27ee4c381dd6b9,5SOI4RfSy23OQlXRTAtcL0,Screamager,https://p.scdn.co/mp3-preview/b6ed6d055023432b5a693ae2c2e09595f3d2f9a1?cid=0122489fce4b4cb7a933550fb5ebcbf7,0.182,0.894,2,-6.226,0,0.09,0.000236,0.131,0.674,0.455,176.578
